 written on 12Dec2022 at 11:54:36 
           2
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1   -0.000008   -0.000000
   -1   -1   -1    2    1    0.000005   -0.000000
   -1   -1   -1    1    2    0.000005    0.000000
   -1   -1   -1    2    2   -0.000008    0.000000
   -1   -1    0    1    1   -0.000025   -0.000000
   -1   -1    0    2    1    0.000005    0.000000
   -1   -1    0    1    2    0.000005   -0.000000
   -1   -1    0    2    2   -0.000025    0.000000
   -1   -1    1    1    1   -0.000008   -0.000000
   -1   -1    1    2    1    0.000005   -0.000000
   -1   -1    1    1    2    0.000005    0.000000
   -1   -1    1    2    2   -0.000008    0.000000
   -1    0   -1    1    1   -0.000008    0.000000
   -1    0   -1    2    1   -0.000012    0.000000
   -1    0   -1    1    2   -0.000012   -0.000000
   -1    0   -1    2    2   -0.000008   -0.000000
   -1    0    0    1    1   -0.000025    0.000000
   -1    0    0    2    1   -0.000012   -0.000000
   -1    0    0    1    2   -0.000012    0.000000
   -1    0    0    2    2   -0.000025    0.000000
   -1    0    1    1    1   -0.000008    0.000000
   -1    0    1    2    1   -0.000012    0.000000
   -1    0    1    1    2   -0.000012   -0.000000
   -1    0    1    2    2   -0.000008   -0.000000
    0   -1   -1    1    1   -0.000008    0.000000
    0   -1   -1    2    1   -0.000012   -0.000000
    0   -1   -1    1    2   -0.000012    0.000000
    0   -1   -1    2    2   -0.000008    0.000000
    0   -1    0    1    1   -0.000025    0.000000
    0   -1    0    2    1   -0.000012    0.000000
    0   -1    0    1    2   -0.000012   -0.000000
    0   -1    0    2    2   -0.000025    0.000000
    0   -1    1    1    1   -0.000008    0.000000
    0   -1    1    2    1   -0.000012   -0.000000
    0   -1    1    1    2   -0.000012    0.000000
    0   -1    1    2    2   -0.000008    0.000000
    0    0   -1    1    1    0.000014    0.000000
    0    0   -1    2    1   -0.000012   -0.000000
    0    0   -1    1    2   -0.000012    0.000000
    0    0   -1    2    2    0.000014    0.000000
    0    0    0    1    1 -116.007205   -0.000000
    0    0    0    2    1   -0.000012    0.000000
    0    0    0    1    2   -0.000012   -0.000000
    0    0    0    2    2 -116.007236   -0.000000
    0    0    1    1    1    0.000014   -0.000000
    0    0    1    2    1   -0.000012   -0.000000
    0    0    1    1    2   -0.000012    0.000000
    0    0    1    2    2    0.000014   -0.000000
    0    1   -1    1    1   -0.000008    0.000000
    0    1   -1    2    1   -0.000012   -0.000000
    0    1   -1    1    2   -0.000012    0.000000
    0    1   -1    2    2   -0.000008    0.000000
    0    1    0    1    1   -0.000025   -0.000000
    0    1    0    2    1   -0.000012    0.000000
    0    1    0    1    2   -0.000012   -0.000000
    0    1    0    2    2   -0.000025   -0.000000
    0    1    1    1    1   -0.000008    0.000000
    0    1    1    2    1   -0.000012   -0.000000
    0    1    1    1    2   -0.000012    0.000000
    0    1    1    2    2   -0.000008    0.000000
    1    0   -1    1    1   -0.000008    0.000000
    1    0   -1    2    1   -0.000012    0.000000
    1    0   -1    1    2   -0.000012   -0.000000
    1    0   -1    2    2   -0.000008   -0.000000
    1    0    0    1    1   -0.000025   -0.000000
    1    0    0    2    1   -0.000012   -0.000000
    1    0    0    1    2   -0.000012    0.000000
    1    0    0    2    2   -0.000025   -0.000000
    1    0    1    1    1   -0.000008    0.000000
    1    0    1    2    1   -0.000012    0.000000
    1    0    1    1    2   -0.000012   -0.000000
    1    0    1    2    2   -0.000008   -0.000000
    1    1   -1    1    1   -0.000008   -0.000000
    1    1   -1    2    1    0.000005   -0.000000
    1    1   -1    1    2    0.000005    0.000000
    1    1   -1    2    2   -0.000008    0.000000
    1    1    0    1    1   -0.000025   -0.000000
    1    1    0    2    1    0.000005    0.000000
    1    1    0    1    2    0.000005   -0.000000
    1    1    0    2    2   -0.000025    0.000000
    1    1    1    1    1   -0.000008   -0.000000
    1    1    1    2    1    0.000005   -0.000000
    1    1    1    1    2    0.000005    0.000000
    1    1    1    2    2   -0.000008    0.000000
