 written on 12Dec2022 at 11:54:40 
          16
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1    0.010579   -0.000000
   -1   -1   -1    2    1   -0.000902   -0.000000
   -1   -1   -1    3    1    0.000547    0.000000
   -1   -1   -1    4    1   -0.003662    0.000000
   -1   -1   -1    5    1    0.007720   -0.000000
   -1   -1   -1    6    1    0.001860    0.000000
   -1   -1   -1    7    1   -0.000002   -0.000000
   -1   -1   -1    8    1    0.000064    0.000000
   -1   -1   -1    9    1    0.000085    0.000000
   -1   -1   -1   10    1   -0.000009   -0.000000
   -1   -1   -1   11    1   -0.022462    0.000002
   -1   -1   -1   12    1   -0.015976   -0.000000
   -1   -1   -1   13    1    0.009863    0.000000
   -1   -1   -1   14    1   -0.012784    0.000003
   -1   -1   -1   15    1   -0.000012   -0.000000
   -1   -1   -1   16    1   -0.000366   -0.000000
   -1   -1   -1    1    2   -0.000902    0.000000
   -1   -1   -1    2    2   -0.011235   -0.000000
   -1   -1   -1    3    2    0.009224   -0.000000
   -1   -1   -1    4    2   -0.000463   -0.000000
   -1   -1   -1    5    2    0.000323    0.000000
   -1   -1   -1    6    2    0.000000    0.000000
   -1   -1   -1    7    2    0.006523   -0.000000
   -1   -1   -1    8    2    0.000033    0.000000
   -1   -1   -1    9    2    0.000040    0.000000
   -1   -1   -1   10    2   -0.007270   -0.000000
   -1   -1   -1   11    2    0.010120    0.000000
   -1   -1   -1   12    2   -0.003228   -0.000000
   -1   -1   -1   13    2   -0.004331    0.000000
   -1   -1   -1   14    2   -0.000003   -0.000000
   -1   -1   -1   15    2   -0.001034   -0.000000
   -1   -1   -1   16    2    0.000001   -0.000000
   -1   -1   -1    1    3    0.000547   -0.000000
   -1   -1   -1    2    3    0.009224    0.000000
   -1   -1   -1    3    3   -0.000580   -0.000000
   -1   -1   -1    4    3   -0.000168   -0.000000
   -1   -1   -1    5    3   -0.000413   -0.000000
   -1   -1   -1    6    3    0.000261   -0.000000
   -1   -1   -1    7    3    0.000034    0.000000
   -1   -1   -1    8    3    0.006606   -0.000000
   -1   -1   -1    9    3   -0.007178   -0.000000
   -1   -1   -1   10    3    0.000044    0.000000
   -1   -1   -1   11    3   -0.006112   -0.000000
   -1   -1   -1   12    3   -0.004035   -0.000000
   -1   -1   -1   13    3   -0.007822   -0.000000
   -1   -1   -1   14    3    0.000041    0.000000
   -1   -1   -1   15    3    0.000005   -0.000000
   -1   -1   -1   16    3   -0.001053    0.000000
   -1   -1   -1    1    4   -0.003662   -0.000000
   -1   -1   -1    2    4   -0.000463    0.000000
   -1   -1   -1    3    4   -0.000168    0.000000
   -1   -1   -1    4    4   -0.014646   -0.000000
   -1   -1   -1    5    4    0.000629   -0.000000
   -1   -1   -1    6    4    0.000028    0.000000
   -1   -1   -1    7    4    0.000040   -0.000000
   -1   -1   -1    8    4   -0.001316   -0.000000
   -1   -1   -1    9    4    0.000352    0.000000
   -1   -1   -1   10    4    0.000025   -0.000000
   -1   -1   -1   11    4    0.004272    0.000000
   -1   -1   -1   12    4   -0.003865   -0.000000
   -1   -1   -1   13    4   -0.002014    0.000000
