 Written on 2022-12-12T11:54:41
          26
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1   -0.000008    0.000000
   -1   -1   -1    2    1    0.000005    0.000000
   -1   -1   -1    3    1    0.000000    0.000000
   -1   -1   -1    4    1    0.000000    0.000000
   -1   -1   -1    5    1    0.000000    0.000000
   -1   -1   -1    6    1    0.000000    0.000000
   -1   -1   -1    7    1    0.000000    0.000000
   -1   -1   -1    8    1    0.000000    0.000000
   -1   -1   -1    9    1    0.000000    0.000000
   -1   -1   -1   10    1    0.000000    0.000000
   -1   -1   -1   11    1    0.000000    0.000000
   -1   -1   -1   12    1    0.000000    0.000000
   -1   -1   -1   13    1    0.000000    0.000000
   -1   -1   -1   14    1    0.000000    0.000000
   -1   -1   -1   15    1    0.000000    0.000000
   -1   -1   -1   16    1    0.000000    0.000000
   -1   -1   -1   17    1    0.000000    0.000000
   -1   -1   -1   18    1    0.000000    0.000000
   -1   -1   -1   19    1    0.000000    0.000000
   -1   -1   -1   20    1    0.000000    0.000000
   -1   -1   -1   21    1    0.000000    0.000000
   -1   -1   -1   22    1    0.000000    0.000000
   -1   -1   -1   23    1    0.000000    0.000000
   -1   -1   -1   24    1    0.000000    0.000000
   -1   -1   -1   25    1    0.000000    0.000000
   -1   -1   -1   26    1    0.000000    0.000000
   -1   -1   -1    1    2    0.000005    0.000000
   -1   -1   -1    2    2   -0.000008    0.000000
   -1   -1   -1    3    2    0.000000    0.000000
   -1   -1   -1    4    2    0.000000    0.000000
   -1   -1   -1    5    2    0.000000    0.000000
   -1   -1   -1    6    2    0.000000    0.000000
   -1   -1   -1    7    2    0.000000    0.000000
   -1   -1   -1    8    2    0.000000    0.000000
   -1   -1   -1    9    2    0.000000    0.000000
   -1   -1   -1   10    2    0.000000    0.000000
   -1   -1   -1   11    2    0.000000    0.000000
   -1   -1   -1   12    2    0.000000    0.000000
   -1   -1   -1   13    2    0.000000    0.000000
   -1   -1   -1   14    2    0.000000    0.000000
   -1   -1   -1   15    2    0.000000    0.000000
   -1   -1   -1   16    2    0.000000    0.000000
   -1   -1   -1   17    2    0.000000    0.000000
   -1   -1   -1   18    2    0.000000    0.000000
   -1   -1   -1   19    2    0.000000    0.000000
   -1   -1   -1   20    2    0.000000    0.000000
   -1   -1   -1   21    2    0.000000    0.000000
   -1   -1   -1   22    2    0.000000    0.000000
   -1   -1   -1   23    2    0.000000    0.000000
   -1   -1   -1   24    2    0.000000    0.000000
   -1   -1   -1   25    2    0.000000    0.000000
   -1   -1   -1   26    2    0.000000    0.000000
   -1   -1   -1    1    3    0.000000    0.000000
   -1   -1   -1    2    3    0.000000    0.000000
   -1   -1   -1    3    3    0.003470    0.000000
   -1   -1   -1    4    3   -0.000011    0.000000
   -1   -1   -1    5    3    0.000006    0.000000
   -1   -1   -1    6    3    0.002475    0.000000
   -1   -1   -1    7    3    0.000025    0.000000
   -1   -1   -1    8    3   -0.000014    0.000000
   -1   -1   -1    9    3    0.000000    0.000000
   -1   -1   -1   10    3    0.000000    0.000000
   -1   -1   -1   11    3    0.000000    0.000000
   -1   -1   -1   12    3    0.000000    0.000000
   -1   -1   -1   13    3    0.000000    0.000000
   -1   -1   -1   14    3    0.000000    0.000000
   -1   -1   -1   15    3    0.000000    0.000000
   -1   -1   -1   16    3    0.000000    0.000000
   -1   -1   -1   17    3    0.000000    0.000000
   -1   -1   -1   18    3    0.000000    0.000000
   -1   -1   -1   19    3    0.000000    0.000000
   -1   -1   -1   20    3    0.000000    0.000000
   -1   -1   -1   21    3    0.000000    0.000000
   -1   -1   -1   22    3    0.000000    0.000000
   -1   -1   -1   23    3    0.000000    0.000000
   -1   -1   -1   24    3    0.000000    0.000000
   -1   -1   -1   25    3    0.000000    0.000000
   -1   -1   -1   26    3    0.000000    0.000000
   -1   -1   -1    1    4    0.000000    0.000000
   -1   -1   -1    2    4    0.000000    0.000000
   -1   -1   -1    3    4   -0.000011    0.000000
   -1   -1   -1    4    4   -0.006927    0.000000
   -1   -1   -1    5    4    0.000617    0.000000
   -1   -1   -1    6    4    0.000025    0.000000
   -1   -1   -1    7    4    0.002756    0.000000
   -1   -1   -1    8    4    0.000014    0.000000
   -1   -1   -1    9    4    0.000000    0.000000
   -1   -1   -1   10    4    0.000000    0.000000
   -1   -1   -1   11    4    0.000000    0.000000
   -1   -1   -1   12    4    0.000000    0.000000
   -1   -1   -1   13    4    0.000000    0.000000
   -1   -1   -1   14    4    0.000000    0.000000
   -1   -1   -1   15    4    0.000000    0.000000
   -1   -1   -1   16    4    0.000000    0.000000
   -1   -1   -1   17    4    0.000000    0.000000
   -1   -1   -1   18    4    0.000000    0.000000
   -1   -1   -1   19    4    0.000000    0.000000
   -1   -1   -1   20    4    0.000000    0.000000
   -1   -1   -1   21    4    0.000000    0.000000
   -1   -1   -1   22    4    0.000000    0.000000
   -1   -1   -1   23    4    0.000000    0.000000
   -1   -1   -1   24    4    0.000000    0.000000
   -1   -1   -1   25    4    0.000000    0.000000
   -1   -1   -1   26    4    0.000000    0.000000
   -1   -1   -1    1    5    0.000000    0.000000
   -1   -1   -1    2    5    0.000000    0.000000
   -1   -1   -1    3    5    0.000006    0.000000
   -1   -1   -1    4    5    0.000617    0.000000
